ID,Name,Age,Position,Height,Weight,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,DraftCategory,DraftPick
joe-harris--1,Trey McKinney Jones,22,Guard,198,102,2014,Virginia,ACC,37,37,28.8,4.0,9.1,.441,2.1,4.3,.487,1.9,4.9,.400,2.0,3.1,.640,0.6,2.4,2.9,2.3,0.9,0.2,1.3,2.4,12.0,7.86,18.7,.565,.547,.533,.337,407,2.7,9.8,6.3,18.1,2.2,0.9,10.9,23.3,2.6,2.4,5.0,.187,Undrafted,80
joseph-young-1,"Walt Lemon, Jr.",21,Guard,188,83,2015,Oregon,Pac-12,36,35,36.7,7.4,16.4,.448,4.8,9.4,.516,2.5,7.1,.357,3.4,3.7,.925,0.5,3.9,4.4,3.8,1.1,0.0,2.4,1.4,20.7,7.65,23.2,.568,.524,.431,.226,701,1.7,11.6,6.9,21.3,1.8,0.1,11.7,28.7,4.4,1.2,5.6,.170,Undrafted,80
marcus-thornton-3,"Kelly Oubre, Jr.",19,Guard,193,86,2015,William & Mary,CAA,33,33,36.7,6.5,14.3,.456,3.4,6.6,.518,3.1,7.7,.402,3.8,4.6,.830,0.3,2.5,2.8,2.9,0.6,0.1,2.3,1.1,20.0,-1.15,21.8,.605,.564,.538,.324,598,1.0,7.9,4.7,17.5,1.1,0.4,12.4,28.5,4.0,0.7,4.7,.154,Top15,15
chris-walker-6,"Larry Nance, Jr.",22,Forward,208,99,2015,Florida,SEC,31,6,14.6,2.1,3.8,.538,2.1,3.7,.552,0.0,0.1,.000,0.5,1.4,.386,1.3,2.2,3.5,0.1,0.3,1.2,1.0,2.0,4.7,9.67,16.0,.518,.538,.025,.370,133,11.0,18.7,14.7,1.0,1.4,9.4,18.6,20.7,0.1,1.0,1.2,.102,Top30,27
derrick-jonesjr-1,"Derek Cooke, Jr.",23,Forward,201,86,2016,UNLV,MWC,30,15,21.5,4.3,7.3,.589,4.0,6.0,.672,0.3,1.3,.205,2.6,4.4,.594,1.7,2.7,4.5,0.8,0.9,1.3,1.2,3.1,11.5,3.17,24.2,.611,.607,.178,.607,309,8.6,13.4,11.0,8.1,2.3,6.2,11.3,23.2,1.8,1.3,3.1,.193,Undrafted,80
dennis-smithjr-1,Wade Baldwin IV,20,Guard,190,88,2017,NC State,ACC,32,32,34.8,6.0,13.1,.455,4.3,8.3,.509,1.7,4.8,.359,4.5,6.3,.715,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,8.09,23.1,.563,.520,.364,.476,621,2.7,11.5,7.3,34.2,3.1,1.2,17.3,27.2,3.1,0.9,4.0,.142,Top30,17
andrew-whiteiii-1,Gary Payton II,23,Guard,201,99,2017,Syracuse,ACC,34,34,37.2,5.9,13.3,.441,2.6,5.1,.503,3.3,8.2,.403,3.5,4.1,.837,0.8,3.8,4.6,1.1,1.6,0.4,1.6,2.1,18.5,8.47,20.3,.606,.565,.616,.313,528,2.6,11.2,7.1,6.1,2.6,1.1,9.8,23.1,3.5,1.3,4.9,.154,Undrafted,80
zach-smith-1,James Webb III,22,Forward,203,95,2018,Texas Tech,Big 12,23,15,20.6,2.7,4.7,.579,2.7,4.4,.604,0.0,0.3,.167,0.8,1.8,.429,1.0,2.8,3.8,1.1,0.7,1.0,1.5,1.6,6.2,9.60,15.2,.563,.584,.056,.393,139,5.9,15.4,10.8,10.6,2.1,5.8,21.1,17.2,0.3,1.1,1.4,.120,Undrafted,80
etwaun-moore-1,E'Twaun Moore,22,Guard,193,86,2011,Purdue,Big Ten,34,33,33.9,6.5,14.5,.447,4.4,9.4,.473,2.1,5.1,.400,2.9,4.1,.709,1.5,3.6,5.1,3.2,1.2,0.5,1.8,2.1,18.0,8.69,23.9,.545,.518,.354,.285,573,5.1,12.5,8.8,20.9,2.2,1.6,9.8,28.0,3.7,2.2,5.9,.205,Top60,55
thomas-robinson-2,Thomas Robinson,21,Forward,206,107,2012,Kansas,Big 12,39,39,31.8,6.7,13.3,.505,6.5,12.9,.505,0.2,0.4,.500,4.2,6.1,.682,2.9,9.0,11.9,1.8,1.1,0.9,2.7,2.7,17.7,9.93,27.4,.549,.512,.027,.462,660,11.1,33.0,22.2,13.1,2.0,2.9,14.2,30.0,3.7,3.5,7.2,.231,Top15,5
bernard-james--1,Bernard James,27,Forward,208,108,2012,Florida State,ACC,35,35,28.0,4.5,7.4,.606,4.5,7.4,.606,0.0,0.0,,1.8,3.3,.552,3.1,5.0,8.1,0.5,0.7,2.3,2.1,1.9,10.8,7.62,23.3,.602,.606,.000,.448,359,13.6,21.4,17.6,3.6,1.6,9.5,18.9,20.0,2.0,2.3,4.3,.176,Top45,33
kyle-oquinn-1,Kyle O'Quinn,22,Center,208,108,2012,Norfolk State,MEAC,36,36,31.3,5.7,9.9,.573,5.5,9.1,.610,0.2,0.9,.188,4.3,6.2,.696,3.2,7.2,10.3,1.4,0.7,2.7,2.6,3.3,15.9,-5.39,28.6,.616,.581,.089,.626,548,12.0,27.9,19.8,10.9,1.3,9.2,17.0,24.9,3.7,2.5,6.2,.219,Top60,49
toure-murry-1,Toure' Murry,22,Guard,196,90,2012,Wichita State,MVC,33,28,29.3,4.2,10.1,.422,3.8,8.4,.449,0.5,1.7,.286,3.2,4.0,.789,1.4,3.3,4.7,3.3,1.3,0.3,2.2,1.6,12.2,3.80,19.6,.507,.446,.169,.401,431,6.0,13.6,9.9,21.2,2.6,1.0,15.6,24.9,2.2,1.9,4.1,.169,Undrafted,80
daundray-brown-1,D'Aundray Brown,23,Guard,193,88,2012,Cleveland State,Horizon,26,25,29.7,4.3,9.3,.457,3.6,7.5,.479,0.7,1.9,.367,1.5,1.9,.800,2.0,2.5,4.5,2.2,2.5,0.7,1.8,2.5,10.8,0.12,21.3,.525,.494,.202,.206,282,8.6,11.4,9.9,15.6,5.3,2.7,14.7,21.5,1.6,1.8,3.3,.174,Undrafted,80
terrell-holloway-1,Tu Holloway,22,Guard,183,86,2012,Xavier,A-10,34,34,36.7,4.9,11.4,.429,3.6,7.6,.471,1.3,3.8,.346,6.4,7.4,.862,0.4,3.2,3.6,4.9,1.5,0.1,3.0,2.1,17.5,6.22,22.2,.587,.487,.336,.654,601,1.3,10.8,6.0,27.5,2.5,0.3,16.7,25.1,4.1,1.4,5.5,.176,Undrafted,80
matthew-dellavedova-1,Matt Dellavedova,22,Guard,193,86,2013,Saint Mary's,WCC,35,35,36.4,4.9,12.0,.404,2.4,5.6,.429,2.5,6.4,.382,3.6,4.3,.852,0.7,2.7,3.4,6.4,1.1,0.1,2.8,1.7,15.8,3.31,21.7,.562,.506,.534,.354,606,2.2,9.9,5.9,34.1,1.9,0.3,16.8,24.2,4.8,1.4,6.2,.196,Undrafted,80
jordan-henriquez-roberts-1,Jordan Henriquez,23,Center,213,113,2013,Kansas State,Big 12,33,20,15.9,2.1,4.1,.507,2.1,4.1,.507,0.0,0.0,,0.8,2.2,.389,2.3,2.7,5.0,0.4,0.2,1.9,0.8,2.4,5.0,6.53,20.6,.488,.507,.000,.537,168,16.5,22.6,19.3,5.0,0.8,13.6,13.4,19.1,0.8,1.2,1.9,.148,Undrafted,80
kyle-anderson-3,Kyle Anderson,20,Guard,206,104,2014,UCLA,Pac-12,36,36,33.2,5.0,10.5,.480,4.3,8.9,.480,0.8,1.6,.483,3.8,5.2,.737,1.3,7.5,8.8,6.5,1.8,0.8,3.1,1.7,14.6,7.62,24.7,.566,.517,.154,.493,603,4.5,25.5,15.4,34.3,3.1,2.7,19.1,24.1,3.1,2.6,5.6,.189,Top30,30
johnny-obryant-1,Johnny O'Bryant,21,Forward,206,116,2014,LSU,SEC,34,34,30.0,5.9,12.0,.494,5.9,11.9,.495,0.0,0.1,.333,3.5,5.5,.634,3.0,4.7,7.7,1.6,0.5,0.9,3.2,3.2,15.4,6.61,18.7,.526,.495,.007,.455,507,10.8,16.6,13.7,11.5,1.0,2.9,17.8,28.5,1.2,1.5,2.7,.106,Top45,36
roy-devyn-marble-1,Devyn Marble,21,Guard,198,90,2014,Iowa,Big Ten,33,33,30.2,5.5,13.2,.420,4.0,8.7,.456,1.6,4.5,.349,4.3,6.0,.714,0.8,2.4,3.2,3.6,1.8,0.2,1.7,1.9,17.0,7.43,22.6,.528,.479,.342,.456,534,2.9,8.6,5.9,23.6,3.5,0.8,9.7,28.4,3.0,1.6,4.6,.187,Top60,56
ronald-roberts--1,Ronald Roberts,22,Forward,203,102,2014,St. Joseph's,A-10,32,32,33.3,5.4,9.1,.600,5.4,9.1,.600,0.0,0.0,,3.5,5.9,.595,2.9,4.6,7.4,1.3,0.3,1.3,2.0,2.4,14.4,5.08,21.3,.606,.600,.000,.655,445,10.7,15.2,13.0,8.5,0.6,4.3,14.2,22.0,2.7,1.5,4.2,.159,Undrafted,80
edwin-fuquan-1,Fuquan Edwin,22,Guard,198,97,2014,Seton Hall,Big East,29,26,30.1,5.5,12.5,.439,3.9,7.8,.502,1.6,4.7,.333,2.0,2.5,.781,0.9,2.6,3.5,1.7,2.7,0.2,1.8,2.8,14.5,5.56,20.2,.529,.501,.373,.202,381,3.8,10.5,7.2,13.5,5.3,0.8,11.8,27.7,1.2,1.5,2.7,.124,Undrafted,80
